score,name,links
4.9,Dirk Vandepol,https://www.ratemyprofessors.com/professor/2928542
4.8,Jeffrey Krakoff,https://www.ratemyprofessors.com/professor/2750631
4.8,Alexandra Straub,https://www.ratemyprofessors.com/professor/2878100
3.9,Timothy Hoffman,https://www.ratemyprofessors.com/professor/1678693
3.7,Jeremiah Morgan,https://www.ratemyprofessors.com/professor/2204858
3.2,Jude Hays,https://www.ratemyprofessors.com/professor/1663246
3.2,Natasa Vidic,https://www.ratemyprofessors.com/professor/1271857
2.4,Christel Temple,https://www.ratemyprofessors.com/professor/1540950
4.0,Daniel McMillan,https://www.ratemyprofessors.com/professor/1656995
4.8,Lane Grafton,https://www.ratemyprofessors.com/professor/2752472
3.5,Jennifer Roccisana,https://www.ratemyprofessors.com/professor/2590113
2.7,Lingfei Wu,https://www.ratemyprofessors.com/professor/2535663
3.1,Patrick Skeba,https://www.ratemyprofessors.com/professor/2937623
4.1,Julia Hudson-Richards,https://www.ratemyprofessors.com/professor/2537995
2.1,Youtao Zhang,https://www.ratemyprofessors.com/professor/943715
4.9,Ryan Pilcher,https://www.ratemyprofessors.com/professor/2927741
5.0,Claire Ebert,https://www.ratemyprofessors.com/professor/2783300
3.7,Paolo Piscitelli,https://www.ratemyprofessors.com/professor/2267818
2.2,Justinn Bortnick,https://www.ratemyprofessors.com/professor/2893070
5.0,Quentin King-Shepard,https://www.ratemyprofessors.com/professor/2758926
2.7,Jack Zhang,https://www.ratemyprofessors.com/professor/3095100
4.7,Joe Harris,https://www.ratemyprofessors.com/professor/3044818
3.7,Jonathan Auxier,https://www.ratemyprofessors.com/professor/2613359
4.5,Mark Best,https://www.ratemyprofessors.com/professor/171341
2.7,Mike Ramsey,https://www.ratemyprofessors.com/professor/131510
3.4,Stephanie Nygard,https://www.ratemyprofessors.com/professor/2935791
4.9,Patricia Quirin,https://www.ratemyprofessors.com/professor/613274
4.2,Tessa Provins,https://www.ratemyprofessors.com/professor/2433197
2.9,Qing-Ming Wang,https://www.ratemyprofessors.com/professor/88417
3.4,Adam Lowenstein,https://www.ratemyprofessors.com/professor/190452
4.4,Hong-Thao Nguyen,https://www.ratemyprofessors.com/professor/2313977
2.3,Jay Arms,https://www.ratemyprofessors.com/professor/2534633
2.7,Carl Kurlander,https://www.ratemyprofessors.com/professor/150023
3.3,Tia-Lynn Ashman,https://www.ratemyprofessors.com/professor/1063937
3.6,Diego Holstein,https://www.ratemyprofessors.com/professor/1769174
5.0,Andy Lee,https://www.ratemyprofessors.com/professor/2948213
3.0,Sohel Sarwar,https://www.ratemyprofessors.com/professor/2450152
3.3,Sim Hinman Wan,https://www.ratemyprofessors.com/professor/2957471
4.9,Alina Kuvelkar,https://www.ratemyprofessors.com/professor/3037533
4.1,Erika Huston,https://www.ratemyprofessors.com/professor/2326650
4.5,Vipin Krishna,https://www.ratemyprofessors.com/professor/3058191
3.2,Luke McDermott,https://www.ratemyprofessors.com/professor/2887137
3.0,Jung-Kun Lee,https://www.ratemyprofessors.com/professor/1114732
3.0,Laura Gradowski,https://www.ratemyprofessors.com/professor/2972271
4.6,Doug Swanson,https://www.ratemyprofessors.com/professor/2219019
2.0,Cindy Bahn,https://www.ratemyprofessors.com/professor/3004295
4.6,Thomas Everest,https://www.ratemyprofessors.com/professor/1091402
3.1,Saoirse McSharry,https://www.ratemyprofessors.com/professor/2729264
4.5,Meredith Guthrie,https://www.ratemyprofessors.com/professor/984170
4.4,David Cercone,https://www.ratemyprofessors.com/professor/192628
3.7,Lingfeng Liu,https://www.ratemyprofessors.com/professor/2381832
2.3,Guy Peters,https://www.ratemyprofessors.com/professor/318557
2.9,Paula Kane,https://www.ratemyprofessors.com/professor/134561
3.2,Ross Harrison,https://www.ratemyprofessors.com/professor/841480
4.0,Azime Can-Cimino,https://www.ratemyprofessors.com/professor/2589180
2.9,Keely Bowers,https://www.ratemyprofessors.com/professor/283425
3.0,Lara Putnam,https://www.ratemyprofessors.com/professor/333046
3.8,Roberta De Carvalho,https://www.ratemyprofessors.com/professor/2585628
4.0,Courtney Weikle-Mills,https://www.ratemyprofessors.com/professor/1089874
2.8,Barbara Klein,https://www.ratemyprofessors.com/professor/2108978
4.7,Hillary Lazar,https://www.ratemyprofessors.com/professor/2367829
3.5,Rachel Bezanson,https://www.ratemyprofessors.com/professor/2295832
3.3,Sangyeop Lee,https://www.ratemyprofessors.com/professor/2210620
4.7,Klaus Libertus,https://www.ratemyprofessors.com/professor/2733791
4.7,Jordan Bernsmeier,https://www.ratemyprofessors.com/professor/2219625
3.2,Song Shi,https://www.ratemyprofessors.com/professor/2725027
3.5,Alissa Klots,https://www.ratemyprofessors.com/professor/2650399
3.5,Laura Gotkowitz,https://www.ratemyprofessors.com/professor/2534537
4.2,Carl-Wang Erickson,https://www.ratemyprofessors.com/professor/2837258
3.1,Stacia Wetherington,https://www.ratemyprofessors.com/professor/2744749
4.2,Liberty Ferda,https://www.ratemyprofessors.com/professor/1855822
3.9,Adam Demaray,https://www.ratemyprofessors.com/professor/2960096
3.6,Frankie Chik,https://www.ratemyprofessors.com/professor/2834379
4.0,Angie  Ocampo-Roland,https://www.ratemyprofessors.com/professor/2879094
5.0,Cedric Rudolph,https://www.ratemyprofessors.com/professor/2980905
3.7,Emily Yarish,https://www.ratemyprofessors.com/professor/3038066
5.0,Katya Slater,https://www.ratemyprofessors.com/professor/2928829
3.8,Evangelian Collings,https://www.ratemyprofessors.com/professor/3001967
4.5,Alexandra Hidalgo,https://www.ratemyprofessors.com/professor/2999106
1.9,Rachel Furman,https://www.ratemyprofessors.com/professor/1663991
4.3,Megan Valley,https://www.ratemyprofessors.com/professor/2978558
5.0,Toula Protopapa,https://www.ratemyprofessors.com/professor/3008102
4.0,Jiarui Liu,https://www.ratemyprofessors.com/professor/3099007
3.9,Michael Golde,https://www.ratemyprofessors.com/professor/290124
3.5,Laura Zapanta,https://www.ratemyprofessors.com/professor/1224972
3.0,Adrian Michael,https://www.ratemyprofessors.com/professor/355586
3.2,Zuzana Swigonova,https://www.ratemyprofessors.com/professor/1215818
2.2,Sean Garrett-Roe,https://www.ratemyprofessors.com/professor/2105120
4.9,Bryan Nelson,https://www.ratemyprofessors.com/professor/1931577
3.4,Carey Treado,https://www.ratemyprofessors.com/professor/1988056
3.9,Paul Floreancig,https://www.ratemyprofessors.com/professor/91845
4.1,Leslie Hammond,https://www.ratemyprofessors.com/professor/197857
4.6,Paulo Brasko,https://www.ratemyprofessors.com/professor/1865727
3.8,Linhong Wang,https://www.ratemyprofessors.com/professor/2047430
3.5,Christopher Lennard,https://www.ratemyprofessors.com/professor/103217
4.5,Tony Novosel,https://www.ratemyprofessors.com/professor/94056
2.3,Gregory Constantine,https://www.ratemyprofessors.com/professor/198649
4.8,Clark Chilson,https://www.ratemyprofessors.com/professor/978112
4.4,Julie Beaulieu,https://www.ratemyprofessors.com/professor/1050286
2.7,Alexander Star,https://www.ratemyprofessors.com/professor/934139
4.3,Jennifer Lee,https://www.ratemyprofessors.com/professor/367782
4.6,Rick Schaub,https://www.ratemyprofessors.com/professor/163115
3.4,Huiqiang Jiang,https://www.ratemyprofessors.com/professor/1089989
5.0,Adam Hebert,https://www.ratemyprofessors.com/professor/2239317
4.7,Jonathan Zisook,https://www.ratemyprofessors.com/professor/2727346
4.5,Brian Hogan,https://www.ratemyprofessors.com/professor/1873515
4.9,Aimee Danley,https://www.ratemyprofessors.com/professor/2549157
3.6,Roger Zahab,https://www.ratemyprofessors.com/professor/143268
2.7,Mei Feng,https://www.ratemyprofessors.com/professor/942873
3.3,Mohamed Bayoumy,https://www.ratemyprofessors.com/professor/2552965
4.0,Anthony Schwacha,https://www.ratemyprofessors.com/professor/1067117
3.9,Jennifer Josten,https://www.ratemyprofessors.com/professor/1965960
4.6,Joseph Graham,https://www.ratemyprofessors.com/professor/2889716
4.9,John Brigham,https://www.ratemyprofessors.com/professor/1422262
5.0,Alexandra Finley,https://www.ratemyprofessors.com/professor/2604698
2.3,Castilleja Olmsted,https://www.ratemyprofessors.com/professor/2694409
3.4,Ruth Mostern,https://www.ratemyprofessors.com/professor/2576238
3.1,Kristen Butela,https://www.ratemyprofessors.com/professor/2516035
3.6,Heidi Jenkins,https://www.ratemyprofessors.com/professor/2764793
3.1,Tosin Akinsipe,https://www.ratemyprofessors.com/professor/3043252
4.1,Melissa Eppihimer,https://www.ratemyprofessors.com/professor/1510915
3.5,Kelly O'Donnell,https://www.ratemyprofessors.com/professor/2481444
4.3,Margaret Davidson,https://www.ratemyprofessors.com/professor/1857605
4.6,Jennifer Keating,https://www.ratemyprofessors.com/professor/2647627
3.0,Larkin Philpot,https://www.ratemyprofessors.com/professor/2692935
4.1,Nathan Scoll,https://www.ratemyprofessors.com/professor/2946898
4.1,William Conroy,https://www.ratemyprofessors.com/professor/2294975
3.4,Michelle Colvin,https://www.ratemyprofessors.com/professor/2783674
4.3,Jenna Massaro,https://www.ratemyprofessors.com/professor/2845899
3.5,Katie Wagner,https://www.ratemyprofessors.com/professor/2538382
4.6,Richard McDonald,https://www.ratemyprofessors.com/professor/2286872
3.8,Joshua Bloom,https://www.ratemyprofessors.com/professor/2358433
3.4,April Chambers,https://www.ratemyprofessors.com/professor/2449109
4.1,Caro Pirri,https://www.ratemyprofessors.com/professor/2626101
5.0,Rebecca Toth,https://www.ratemyprofessors.com/professor/2707232
4.5,Nickolaus Hartos,https://www.ratemyprofessors.com/professor/3003936
3.4,Alex Maldonado,https://www.ratemyprofessors.com/professor/2928595
5.0,Hyunju Ha,https://www.ratemyprofessors.com/professor/2782373
5.0,Ilknur Lider,https://www.ratemyprofessors.com/professor/2340370
2.8,Lawrence Philpot,https://www.ratemyprofessors.com/professor/2787829
3.2,Nina Atanasova,https://www.ratemyprofessors.com/professor/3039648
5.0,Ana Sekulic,https://www.ratemyprofessors.com/professor/2797890
4.3,Shelbi Ferguson,https://www.ratemyprofessors.com/professor/2751057
3.4,Fred Shaw,https://www.ratemyprofessors.com/professor/2914269
4.1,Emma Adams,https://www.ratemyprofessors.com/professor/2937169
5.0,Grace Gilbert,https://www.ratemyprofessors.com/professor/2955257
4.6,Scott Andrew,https://www.ratemyprofessors.com/professor/2632190
4.7,Hyunjin  Kim,https://www.ratemyprofessors.com/professor/3040276
4.5,Josh Counselman,https://www.ratemyprofessors.com/professor/2747020
2.6,Amy Seifried,https://www.ratemyprofessors.com/professor/3065693
5.0,John-Christian Bardzil,https://www.ratemyprofessors.com/professor/2852569
5.0,Shallegra Moye,https://www.ratemyprofessors.com/professor/2964090
4.5,JC Lee,https://www.ratemyprofessors.com/professor/3002571
5.0,Shannon  Garavaglia,https://www.ratemyprofessors.com/professor/2903290
5.0,Yasmin Flodin-Ali,https://www.ratemyprofessors.com/professor/3064217
5.0,Morgan Kok,https://www.ratemyprofessors.com/professor/3093686
5.0,Erin Claypool,https://www.ratemyprofessors.com/professor/3098208
4.0,Nick Payton,https://www.ratemyprofessors.com/professor/3098498
3.7,Susan Maleckar,https://www.ratemyprofessors.com/professor/211376
3.9,Vladimir Savinov,https://www.ratemyprofessors.com/professor/1091424
